Date,Close/Last,Volume,Open,High,Low
03/25/2022,$54.93,1489053,$48.41,$55.5,$47.71
03/24/2022,$45.62,133262,$45.4,$45.84,$44.04
03/23/2022,$45.15,166628,$46.03,$46.1,$44.6
03/22/2022,$46.36,111486,$46.53,$47.12,$45.605
03/21/2022,$46.3,187027,$46.94,$47.88,$45.81
03/18/2022,$47.07,324277,$46.21,$47.6,$46.17
03/17/2022,$45.95,180674,$44.13,$46.09,$43.57
03/16/2022,$43.86,237835,$43,$44.25,$42.92
03/15/2022,$42.67,203591,$41.26,$42.75,$41.12
03/14/2022,$41.5,156977,$42.02,$42.45,$40.4498
03/11/2022,$42.29,111686,$43.78,$44.4404,$42.27
03/10/2022,$43.57,123078,$42.18,$43.71,$42.0401
03/09/2022,$43.08,255074,$43,$43.98,$40.25
03/08/2022,$42.33,383986,$41.52,$43.265,$41.38
03/07/2022,$41.39,227379,$40.96,$42.06,$40.51
03/04/2022,$40.49,188560,$39.19,$40.91,$38.95
03/03/2022,$39.53,107065,$39.36,$40.44,$38.99
03/02/2022,$39.04,114731,$37.78,$39.38,$37.78
03/01/2022,$38.15,99032,$38.45,$38.69,$37.72
02/28/2022,$38.36,159392,$37.73,$38.55,$36.375
02/25/2022,$38.11,97839,$37.31,$38.68,$37.01
02/24/2022,$36.94,248306,$34.86,$37.03,$34.305
02/23/2022,$35.98,343589,$34.64,$37.13,$34.55
02/22/2022,$33.45,317706,$35.79,$35.79,$32.86
02/18/2022,$35.45,87823,$35.54,$36.4,$35.28
02/17/2022,$35.78,128980,$37.03,$37.03,$35.3
02/16/2022,$37.26,163591,$37.27,$37.63,$36.185
02/15/2022,$37.36,116452,$37.84,$38.87,$37.14
02/14/2022,$37.2,80307,$36.74,$37.79,$36.74
02/11/2022,$37.1,92755,$37.7,$38.1961,$36.92
02/10/2022,$37.79,156254,$36.9,$38.26,$36.81
02/09/2022,$37.81,137018,$37.9,$38.53,$37.42
02/08/2022,$37.61,72063,$36.18,$37.97,$36.13
02/07/2022,$36.18,114126,$36.94,$37.89,$36.14
02/04/2022,$37.01,203436,$35.19,$37.25,$35
02/03/2022,$35.16,117107,$35.06,$36,$34.89
02/02/2022,$35.87,111856,$36.53,$36.53,$34.7
02/01/2022,$36.3,230176,$37.07,$37.08,$35.55
01/31/2022,$36.41,196136,$34.53,$36.84,$34.14
01/28/2022,$34.19,402563,$32.33,$34.55,$32.33
01/27/2022,$32.12,184064,$34.09,$34.57,$31.62
01/26/2022,$33.51,196893,$34.07,$34.56,$32.61
01/25/2022,$33.5,186118,$33.51,$34.9,$32.76
01/24/2022,$34.63,197566,$32.78,$34.94,$31.77
01/21/2022,$33.32,249799,$33.38,$34.42,$32.8669
01/20/2022,$33.71,131445,$35.1,$35.715,$33.61
01/19/2022,$34.94,100300,$35.18,$35.8625,$34.62
01/18/2022,$35.08,108229,$36.76,$36.76,$34.76
01/14/2022,$37.08,129777,$36.53,$37.31,$34.995
01/13/2022,$37.07,76280,$37.29,$38.49,$36.79
01/12/2022,$37.15,86146,$37.7,$37.86,$36.5
01/11/2022,$37.56,110678,$36.75,$37.78,$36.24
01/10/2022,$36.61,112569,$36.7,$37.09,$35.4701
01/07/2022,$36.98,102035,$37.72,$37.76,$36.89
01/06/2022,$37.55,98480,$38.28,$38.88,$36.79
01/05/2022,$38.38,100877,$39.39,$40.75,$38.1
01/04/2022,$39.53,133051,$39.98,$40.75,$38.33
01/03/2022,$39.88,207418,$41.75,$42.47,$38.58
12/31/2021,$41.32,577049,$39.34,$41.53,$38.92
12/30/2021,$39.26,131216,$38.64,$39.56,$38.47
12/29/2021,$38.75,65112,$38.59,$39.135,$38
12/28/2021,$38.44,104243,$39.35,$39.36,$38.38
12/27/2021,$39.32,111425,$39.26,$39.46,$38.31
12/23/2021,$39.29,222168,$38.62,$39.475,$38.06
12/22/2021,$38.43,79528,$37.24,$38.55,$36.94
12/21/2021,$37.44,126474,$37.24,$37.8654,$36.4601
12/20/2021,$36.6,127074,$36.02,$36.775,$35.04
12/17/2021,$36.74,373029,$35.08,$37.72,$34.7189
12/16/2021,$35.1,181080,$37.36,$37.49,$35.01
12/15/2021,$37.25,182116,$35.64,$37.27,$34.84
12/14/2021,$35.4,197386,$36.78,$37.13,$34.935
12/13/2021,$37.35,133437,$35.91,$38.01,$34.28
12/10/2021,$37.59,114404,$38.56,$40.0505,$37.28
12/09/2021,$38.46,105634,$39.39,$39.58,$38.4
12/08/2021,$39.79,134376,$39.04,$39.94,$38.71
12/07/2021,$38.91,244684,$36.44,$39.81,$36.305
12/06/2021,$36.05,274585,$33.99,$36.17,$33.405
12/03/2021,$33.71,431276,$35.24,$35.9932,$33.25
12/02/2021,$34.98,185353,$35.17,$36.375,$34.32
12/01/2021,$34.8,255892,$35.78,$37.27,$34.66
11/30/2021,$34.86,659598,$36.9,$37.32,$34.355
11/29/2021,$37.04,235562,$40.13,$40.57,$36.81
11/26/2021,$39.86,105279,$39.01,$40.15,$38.21
11/24/2021,$40.07,76532,$40.25,$40.82,$39.5201
11/23/2021,$40.51,119407,$41.36,$41.6,$39.85
11/22/2021,$41.41,92551,$41.95,$42.68,$40.99
11/19/2021,$41.93,112266,$42.83,$43.4,$41.7401
11/18/2021,$43.31,148903,$43.58,$44.6,$42.44
11/17/2021,$44.02,65089,$44.61,$45.02,$44.02
11/16/2021,$44.76,75130,$45.05,$45.76,$44.475
11/15/2021,$44.94,96479,$44.12,$45.07,$43.7329
11/12/2021,$44.18,76404,$43.32,$44.515,$43.32
11/11/2021,$43.17,123344,$43.49,$44.05,$42.69
11/10/2021,$43.09,86195,$43.91,$44.42,$42.81
11/09/2021,$44.31,120731,$45,$47.1219,$43.86
11/08/2021,$45.25,140203,$46.22,$47.4,$44.7
11/05/2021,$45.77,140946,$45.84,$46.78,$44.85
11/04/2021,$45.1,178570,$49.4,$49.4,$43.18
11/03/2021,$44.36,177700,$43.17,$44.685,$42.81
11/02/2021,$43.28,79921,$43.53,$43.84,$42.4123
11/01/2021,$43.47,121752,$44.25,$46,$43.04
10/29/2021,$43,177808,$42.06,$43.59,$41.61
10/28/2021,$42.16,68768,$41.24,$42.685,$41.24
10/27/2021,$40.97,98704,$41.29,$42.15,$40.08
10/26/2021,$41.57,67269,$41.87,$42.0417,$41.17
10/25/2021,$41.77,197281,$41.49,$42.585,$41.12
10/22/2021,$41.69,109032,$42.77,$43,$41.41
10/21/2021,$42.94,138511,$42.49,$43.655,$42.2
10/20/2021,$42.59,215362,$42.34,$43.07,$41.92
10/19/2021,$42.38,111958,$42.46,$43.06,$41.96
10/18/2021,$42.07,73421,$43.08,$43.56,$41.88
10/15/2021,$43.18,87839,$44.14,$44.99,$43.05
10/14/2021,$43.33,54667,$44.08,$45.61,$43.18
10/13/2021,$43.52,119529,$43.84,$45.19,$42.91
10/12/2021,$43.5,109247,$42.84,$44.49,$42.4
10/11/2021,$42.55,99326,$43.67,$43.69,$41.77
10/08/2021,$43.75,96635,$44.47,$44.47,$42.94
10/07/2021,$44.58,103641,$43.89,$45.64,$43.65
10/06/2021,$43.66,114197,$43.91,$44.23,$42.32
10/05/2021,$44.22,187206,$44.21,$45.17,$44.01
10/04/2021,$44.37,330839,$46.57,$48.3758,$43.76
10/01/2021,$46.72,116064,$47.22,$47.22,$44.8101
09/30/2021,$46.6,101544,$46.58,$48,$46.04
09/29/2021,$46.42,97561,$46.04,$47.575,$44.96
09/28/2021,$46.02,137603,$46.79,$47.21,$45.83
09/27/2021,$47.12,120667,$48.83,$49.0399,$46.97
09/24/2021,$48.86,75305,$48.7,$49.97,$48.275
09/23/2021,$48.92,126633,$48.95,$50.43,$48.34
09/22/2021,$48.38,112474,$47.06,$48.68,$46.62
09/21/2021,$46.76,82700,$47.2,$47.42,$46
09/20/2021,$47.09,227004,$46.82,$47.47,$46.2617
09/17/2021,$47.9,601778,$47.9,$47.99,$46.91
09/16/2021,$47.88,133643,$49.71,$49.74,$46.9
09/15/2021,$49.52,102433,$49.11,$49.84,$48.77
09/14/2021,$49.26,132085,$49.82,$50.5,$48.245
09/13/2021,$49.58,145550,$50.25,$51.18,$48.76
09/10/2021,$50.18,164829,$51.8,$51.8,$49.7741
09/09/2021,$51.49,244712,$51.04,$52.35,$50.01
09/08/2021,$51.45,96021,$52.34,$52.53,$50.7926
09/07/2021,$52.33,139650,$51.3,$52.86,$51.115
09/03/2021,$51.12,96848,$51.01,$51.74,$50.83
09/02/2021,$51.12,143922,$50.09,$51.9188,$49.69
09/01/2021,$49.67,129511,$49.92,$50.38,$49.26
08/31/2021,$49.74,144175,$48.66,$49.95,$48.5
08/30/2021,$48.92,82571,$48.37,$49.28,$48.08
08/27/2021,$48.22,175283,$47.16,$49.39,$46.85
08/26/2021,$47.28,90248,$46.57,$47.49,$46.55
08/25/2021,$46.88,109652,$48.67,$48.76,$46.69
08/24/2021,$48.49,85334,$48.89,$49.29,$48.21
08/23/2021,$48.81,117943,$49.96,$50.38,$48.75
08/20/2021,$48.9,140747,$47.99,$49.18,$47.59
08/19/2021,$48.18,154276,$47.12,$48.3,$46.12
08/18/2021,$47.92,182802,$47.57,$49.74,$47.425
08/17/2021,$46.95,242851,$46.67,$48.1,$45.3
08/16/2021,$47.53,185329,$49.54,$49.72,$47.09
08/13/2021,$49.72,137822,$50.38,$52.13,$49.34
08/12/2021,$50.38,278986,$50.59,$52.62,$50.13
08/11/2021,$50.99,239453,$53.34,$53.74,$49.6337
08/10/2021,$53.31,136366,$53.37,$54.15,$51.66
08/09/2021,$53.08,105375,$53.51,$54.8,$51.43
08/06/2021,$54.04,301773,$54.29,$54.74,$49.04
08/05/2021,$53.4,767158,$59.6,$60.355,$53.12
08/04/2021,$51.79,253970,$52.175,$53.55,$50.88
08/03/2021,$53.55,169460,$53.61,$53.8,$50.8253
08/02/2021,$53.61,208699,$52.31,$53.77,$51.23
07/30/2021,$51.95,121554,$50.97,$52.25,$50.7296
07/29/2021,$51.12,316118,$50.49,$52.61,$49.57
07/28/2021,$50.27,91803,$49.95,$50.61,$49
07/27/2021,$49.95,151379,$48.59,$50.25,$47.84
07/26/2021,$48.85,143852,$47.93,$50.5,$47.7
07/23/2021,$47.95,73193,$48.42,$48.86,$47.24
07/22/2021,$48.28,112840,$49.49,$49.49,$46.85
07/21/2021,$49.44,228248,$48.03,$49.83,$47.49
07/20/2021,$47.72,249339,$47.32,$48.23,$46.47
07/19/2021,$46.98,162997,$45.88,$47.83,$44.53
07/16/2021,$47.06,102527,$47.48,$48.2,$46.7401
07/15/2021,$47.01,254935,$48.81,$49.06,$46.41
07/14/2021,$49.15,334976,$49.84,$50,$48.19
07/13/2021,$49.43,142472,$50.025,$50.63,$49.31
07/12/2021,$50.2,396935,$49.25,$51.9,$49.25
07/09/2021,$49.09,188138,$48.12,$50,$47.195
07/08/2021,$47.74,145063,$47.07,$48.28,$46.0101
07/07/2021,$48.15,201654,$49.11,$49.45,$47.5901
07/06/2021,$48.79,205890,$49.36,$49.44,$48.14
07/02/2021,$49.44,256252,$49.65,$49.65,$48.1181
07/01/2021,$49.34,137433,$49.17,$49.66,$47.59
06/30/2021,$49.03,252825,$48.41,$49.89,$48.1048
06/29/2021,$48.28,116078,$49.13,$49.17,$47.81
06/28/2021,$49.11,261540,$47.88,$49.86,$47.24
06/25/2021,$47.78,313317,$47.19,$48.88,$47.06
06/24/2021,$47.33,187363,$46.55,$47.9176,$46.05
06/23/2021,$46.44,129630,$46.66,$47.12,$45.94
06/22/2021,$46.55,157994,$47.93,$47.93,$44.49
06/21/2021,$48.29,267325,$47.12,$48.8366,$46.71
06/18/2021,$47.01,214701,$46.7,$47.78,$45.9594
06/17/2021,$47.07,333533,$45.85,$47.62,$44.13
06/16/2021,$45.67,79988,$45.27,$45.975,$44.65
06/15/2021,$45.48,83223,$45.54,$45.64,$44.48
06/14/2021,$45.54,108334,$46.29,$46.85,$45.24
06/11/2021,$46.36,143849,$44.93,$46.42,$43.96
06/10/2021,$44.88,135644,$46.24,$46.448,$44.31
06/09/2021,$46.35,128914,$47.57,$47.655,$45.85
06/08/2021,$47.42,173821,$47.83,$47.93,$46.74
06/07/2021,$47.31,185090,$45.86,$47.59,$45.37
06/04/2021,$45.81,172935,$44.4,$45.98,$44.04
06/03/2021,$44.42,404101,$44.43,$45.11,$43.44
06/02/2021,$44.22,747059,$41.89,$44.43,$41.35
06/01/2021,$40.86,417105,$38.37,$41.18,$38.37
05/28/2021,$38.38,97545,$38.87,$38.98,$36.924
05/27/2021,$38.33,169773,$38,$38.61,$37.8076
05/26/2021,$37.69,158113,$37.44,$37.94,$36.52
